Local time,Open,High,Low,Close,Volume
04.05.2003 17:00:00.000 GMT+0800,1.12354,1.12354,1.12354,1.12354,0
05.05.2003 05:00:00.000 GMT+0800,1.12354,1.12354,1.12030,1.12113,280236.3964
05.05.2003 17:00:00.000 GMT+0800,1.12092,1.13019,1.12049,1.12804,772926.4005
06.05.2003 05:00:00.000 GMT+0800,1.12798,1.13412,1.12738,1.13381,282554.89639999997
06.05.2003 17:00:00.000 GMT+0800,1.13383,1.14510,1.13113,1.14368,778567.8027
07.05.2003 05:00:00.000 GMT+0800,1.14367,1.14448,1.13902,1.13995,280260.3964
07.05.2003 17:00:00.000 GMT+0800,1.13956,1.14317,1.13275,1.13677,776536.1934999999
08.05.2003 05:00:00.000 GMT+0800,1.13675,1.13758,1.13026,1.13312,280498.50200000004
08.05.2003 17:00:00.000 GMT+0800,1.13341,1.15092,1.13236,1.15026,778410.1972999999
09.05.2003 05:00:00.000 GMT+0800,1.15002,1.15376,1.14732,1.15142,280063.1016
09.05.2003 17:00:00.000 GMT+0800,1.15120,1.15335,1.14362,1.14907,783925.8984
10.05.2003 05:00:00.000 GMT+0800,1.14907,1.14907,1.14907,1.14907,0
10.05.2003 17:00:00.000 GMT+0800,1.14907,1.14907,1.14907,1.14907,0
11.05.2003 05:00:00.000 GMT+0800,1.14907,1.14907,1.14907,1.14907,0
11.05.2003 17:00:00.000 GMT+0800,1.14907,1.14907,1.14907,1.14907,0
12.05.2003 05:00:00.000 GMT+0800,1.14958,1.16100,1.14946,1.16077,278917.5
12.05.2003 17:00:00.000 GMT+0800,1.16041,1.16244,1.15362,1.15457,777598.2969000001
13.05.2003 05:00:00.000 GMT+0800,1.15427,1.15751,1.14630,1.14958,280264.0996
13.05.2003 17:00:00.000 GMT+0800,1.14973,1.15546,1.14882,1.15150,777467.295
14.05.2003 05:00:00.000 GMT+0800,1.15190,1.15388,1.14681,1.15223,279145.7012
14.05.2003 17:00:00.000 GMT+0800,1.15241,1.15336,1.14726,1.14970,774755.6094
15.05.2003 05:00:00.000 GMT+0800,1.14983,1.14988,1.14210,1.14583,276334.09760000004
15.05.2003 17:00:00.000 GMT+0800,1.14611,1.14855,1.13757,1.13877,775761.0917999999
16.05.2003 05:00:00.000 GMT+0800,1.13845,1.14147,1.13691,1.14060,285484.5996
16.05.2003 17:00:00.000 GMT+0800,1.14067,1.15786,1.14005,1.15735,774599.0975999999
17.05.2003 05:00:00.000 GMT+0800,1.15735,1.15735,1.15735,1.15735,0
17.05.2003 17:00:00.000 GMT+0800,1.15735,1.15735,1.15735,1.15735,0
18.05.2003 05:00:00.000 GMT+0800,1.15735,1.15735,1.15735,1.15735,0
18.05.2003 17:00:00.000 GMT+0800,1.15735,1.15735,1.15735,1.15735,0
19.05.2003 05:00:00.000 GMT+0800,1.16634,1.17128,1.16287,1.16904,281021.19920000003
19.05.2003 17:00:00.000 GMT+0800,1.16947,1.17363,1.16215,1.16596,773365.3907
20.05.2003 05:00:00.000 GMT+0800,1.16590,1.16818,1.16119,1.16176,278367.5976
20.05.2003 17:00:00.000 GMT+0800,1.16179,1.17156,1.16013,1.17069,781417.7129999999
21.05.2003 05:00:00.000 GMT+0800,1.17059,1.17453,1.16976,1.17148,278994.5996
21.05.2003 17:00:00.000 GMT+0800,1.17130,1.17405,1.16617,1.16746,770820.209
22.05.2003 05:00:00.000 GMT+0800,1.16724,1.16813,1.16192,1.16458,278075.2012
22.05.2003 17:00:00.000 GMT+0800,1.16517,1.17276,1.16496,1.16938,765111.0958
23.05.2003 05:00:00.000 GMT+0800,1.16947,1.17178,1.16648,1.17131,278134.6992
23.05.2003 17:00:00.000 GMT+0800,1.17189,1.18373,1.17144,1.18266,772074.4941000001
24.05.2003 05:00:00.000 GMT+0800,1.18266,1.18266,1.18266,1.18266,0
24.05.2003 17:00:00.000 GMT+0800,1.18266,1.18266,1.18266,1.18266,0
25.05.2003 05:00:00.000 GMT+0800,1.18266,1.18266,1.18266,1.18266,0
25.05.2003 17:00:00.000 GMT+0800,1.18266,1.18266,1.18266,1.18266,0
26.05.2003 05:00:00.000 GMT+0800,1.18270,1.18348,1.17972,1.18073,280113.002
26.05.2003 17:00:00.000 GMT+0800,1.18090,1.18754,1.18053,1.18690,772632.9999999999
27.05.2003 05:00:00.000 GMT+0800,1.18670,1.19077,1.18176,1.18807,279352.30079999997
27.05.2003 17:00:00.000 GMT+0800,1.18831,1.19300,1.18249,1.18288,778336.5975999999
